date,pH,N,P,K
2025-08-24 11:09:00,7.23,21.93,16.29,27.41
2025-08-24 11:10:00,7.16,21.92,16.47,27.26
2025-08-24 11:11:00,7.13,21.8,16.5,27.33
2025-08-24 11:12:00,7.11,22.08,16.56,27.48
2025-08-24 11:13:00,7.12,22.4,16.47,27.38
2025-08-24 11:14:00,7.11,21.78,16.49,27.44
2025-08-24 11:15:00,7.14,21.99,16.42,27.64
2025-08-24 11:16:00,7.13,22.27,16.49,27.09
2025-08-24 11:17:00,7.12,21.96,16.44,27.56
2025-08-24 11:18:00,7.13,22.07,16.53,27.32
2025-08-24 11:19:00,7.17,21.76,16.44,27.15
2025-08-24 11:20:00,7.15,22.05,16.52,27.07
2025-08-24 11:21:00,7.02,21.93,16.48,27.23
2025-08-24 11:22:00,6.96,22.16,16.6,27.38
2025-08-24 11:23:00,7.13,22.19,16.48,27.21
2025-08-24 11:24:00,7.01,22.47,16.31,27.44
2025-08-24 11:25:00,7.06,22.06,16.62,26.98
2025-08-24 11:26:00,7.01,22.0,16.4,27.17
2025-08-24 11:27:00,6.97,21.97,16.43,26.97
2025-08-24 11:28:00,7.08,21.85,16.43,27.19
2025-08-24 11:29:00,7.09,21.98,16.63,27.25
2025-08-24 11:30:00,7.01,21.85,16.28,27.04
2025-08-24 11:31:00,6.91,21.93,16.81,26.69
2025-08-24 11:32:00,7.0,22.16,16.6,27.09
2025-08-24 11:33:00,7.04,21.68,16.52,27.11
2025-08-24 11:34:00,6.94,22.1,16.49,27.08
2025-08-24 11:35:00,7.02,22.13,16.53,27.19
2025-08-24 11:36:00,7.01,21.83,16.55,26.82
2025-08-24 11:37:00,7.03,21.42,16.56,27.06
2025-08-24 11:38:00,7.0,21.72,16.56,27.11
2025-08-24 11:39:00,6.94,22.09,16.51,26.64
2025-08-24 11:40:00,7.04,21.81,16.48,26.94
2025-08-24 11:41:00,6.97,21.61,16.48,26.79
2025-08-24 11:42:00,6.97,21.7,16.48,26.83
2025-08-24 11:43:00,6.92,21.95,16.61,26.87
2025-08-24 11:44:00,6.94,21.88,16.56,26.72
2025-08-24 11:45:00,6.91,21.72,16.2,26.66
2025-08-24 11:46:00,6.94,21.68,16.56,26.75
2025-08-24 11:47:00,7.03,21.66,16.51,26.55
2025-08-24 11:48:00,6.87,21.54,16.49,26.53
2025-08-24 11:49:00,6.85,22.04,16.45,26.76
2025-08-24 11:50:00,7.0,21.64,16.6,26.46
2025-08-24 11:51:00,6.91,21.93,16.58,26.71
2025-08-24 11:52:00,6.88,21.98,16.41,26.65
2025-08-24 11:53:00,6.96,21.86,16.52,26.29
2025-08-24 11:54:00,6.87,21.56,16.38,26.42
2025-08-24 11:55:00,6.99,21.71,16.34,26.68
2025-08-24 11:56:00,6.92,21.61,16.41,26.32
2025-08-24 11:57:00,6.86,21.42,16.56,26.37
2025-08-24 11:58:00,6.99,21.65,16.56,26.48
2025-08-24 11:59:00,6.84,21.34,16.52,26.5
2025-08-24 12:00:00,6.9,21.79,16.53,26.31
2025-08-24 12:01:00,6.88,21.45,16.51,26.23
2025-08-24 12:02:00,6.92,21.56,16.39,26.5
2025-08-24 12:03:00,6.93,21.56,16.49,26.52
2025-08-24 12:04:00,6.85,21.44,16.53,26.37
2025-08-24 12:05:00,6.8,21.59,16.52,26.21
2025-08-24 12:06:00,6.86,21.36,16.56,26.04
2025-08-24 12:07:00,6.8,21.61,16.5,26.01
2025-08-24 12:08:00,6.93,21.15,16.46,26.18
2025-08-24 12:09:00,6.83,21.43,16.53,26.13
2025-08-24 12:10:00,6.8,21.78,16.42,26.25
2025-08-24 12:11:00,6.82,21.17,16.33,26.1
2025-08-24 12:12:00,6.74,21.22,16.39,25.75
2025-08-24 12:13:00,6.75,21.44,16.33,26.1
2025-08-24 12:14:00,6.86,21.35,16.33,25.75
2025-08-24 12:15:00,6.76,21.36,16.38,25.81
2025-08-24 12:16:00,6.74,21.37,16.31,25.88
2025-08-24 12:17:00,6.81,21.38,16.35,26.1
2025-08-24 12:18:00,6.84,21.46,16.19,26.24
2025-08-24 12:19:00,6.81,21.3,16.39,25.83
2025-08-24 12:20:00,6.82,21.15,16.36,25.67
2025-08-24 12:21:00,6.73,21.31,16.28,25.75
2025-08-24 12:22:00,6.69,21.54,16.42,25.77
2025-08-24 12:23:00,6.84,21.11,16.44,25.55
2025-08-24 12:24:00,6.74,20.92,16.18,25.83
2025-08-24 12:25:00,6.74,21.32,16.25,25.56
2025-08-24 12:26:00,6.82,21.05,16.25,25.57
2025-08-24 12:27:00,6.78,20.62,16.22,25.56
2025-08-24 12:28:00,6.77,21.2,16.39,25.49
2025-08-24 12:29:00,6.85,20.9,16.28,25.51
2025-08-24 12:30:00,6.71,20.97,16.27,25.26
2025-08-24 12:31:00,6.78,21.03,16.09,25.23
2025-08-24 12:32:00,6.74,20.98,16.34,25.12
2025-08-24 12:33:00,6.74,21.06,16.15,25.31
2025-08-24 12:34:00,6.8,20.81,16.27,25.33
2025-08-24 12:35:00,6.75,20.98,16.28,25.24
2025-08-24 12:36:00,6.75,20.8,16.38,25.39
2025-08-24 12:37:00,6.77,20.98,16.11,25.1
2025-08-24 12:38:00,6.7,20.93,15.93,25.17
2025-08-24 12:39:00,6.67,20.6,16.24,24.87
2025-08-24 12:40:00,6.66,20.98,16.39,24.94
2025-08-24 12:41:00,6.61,20.63,16.33,25.07
2025-08-24 12:42:00,6.81,20.88,16.22,25.05
2025-08-24 12:43:00,6.65,20.77,16.14,24.85
2025-08-24 12:44:00,6.7,21.04,16.26,24.84
2025-08-24 12:45:00,6.69,20.6,16.07,24.59
2025-08-24 12:46:00,6.72,20.55,16.21,24.73
2025-08-24 12:47:00,6.75,20.59,16.2,24.88
2025-08-24 12:48:00,6.75,20.51,16.24,24.8
2025-08-24 12:49:00,6.67,20.71,16.4,24.75
2025-08-24 12:50:00,6.69,20.2,16.16,24.65
2025-08-24 12:51:00,6.72,20.29,16.06,24.61
2025-08-24 12:52:00,6.69,20.26,16.1,24.47
2025-08-24 12:53:00,6.78,20.64,15.91,24.64
2025-08-24 12:54:00,6.72,20.77,16.01,24.56
2025-08-24 12:55:00,6.74,20.38,16.03,24.54
2025-08-24 12:56:00,6.73,20.35,16.0,24.35
2025-08-24 12:57:00,6.76,20.37,16.06,24.07
2025-08-24 12:58:00,6.71,20.56,15.95,24.53
2025-08-24 12:59:00,6.64,20.12,16.14,24.25
2025-08-24 13:00:00,6.72,20.33,16.01,24.16
2025-08-24 13:01:00,6.67,20.45,16.0,24.36
2025-08-24 13:02:00,6.68,20.33,15.96,24.17
2025-08-24 13:03:00,6.73,20.25,16.0,24.35
2025-08-24 13:04:00,6.77,20.38,16.05,24.25
2025-08-24 13:05:00,6.71,19.62,15.87,24.23
2025-08-24 13:06:00,6.72,20.27,15.88,23.88
2025-08-24 13:07:00,6.79,19.98,15.9,24.24
2025-08-24 13:08:00,6.72,19.72,15.79,24.06
2025-08-24 13:09:00,6.84,20.16,15.83,23.94
2025-08-24 13:10:00,6.74,20.31,15.85,23.98
2025-08-24 13:11:00,6.63,19.98,15.97,23.66
2025-08-24 13:12:00,6.75,20.17,15.9,23.95
2025-08-24 13:13:00,6.74,20.28,15.88,23.71
2025-08-24 13:14:00,6.78,20.2,15.93,23.63
2025-08-24 13:15:00,6.76,20.24,15.82,23.57
2025-08-24 13:16:00,6.72,20.03,15.86,23.93
2025-08-24 13:17:00,6.67,19.87,15.8,23.64
2025-08-24 13:18:00,6.72,19.51,15.83,23.94
2025-08-24 13:19:00,6.69,19.76,15.73,23.6
2025-08-24 13:20:00,6.71,19.61,15.53,23.39
2025-08-24 13:21:00,6.77,20.19,15.75,23.45
2025-08-24 13:22:00,6.82,19.7,15.89,23.77
2025-08-24 13:23:00,6.76,19.73,15.83,23.53
2025-08-24 13:24:00,6.69,19.79,15.82,23.45
2025-08-24 13:25:00,6.77,19.67,15.83,23.52
2025-08-24 13:26:00,6.81,19.97,15.7,23.55
2025-08-24 13:27:00,6.73,19.49,15.7,23.61
2025-08-24 13:28:00,6.75,19.63,15.61,23.63
2025-08-24 13:29:00,6.77,19.41,15.62,23.33
2025-08-24 13:30:00,6.73,19.27,15.7,23.16
2025-08-24 13:31:00,6.8,19.39,15.75,23.27
2025-08-24 13:32:00,6.77,19.48,15.6,23.35
2025-08-24 13:33:00,6.8,19.38,15.56,23.14
2025-08-24 13:34:00,6.74,19.3,15.59,23.11
2025-08-24 13:35:00,6.77,19.14,15.63,23.28
2025-08-24 13:36:00,6.83,19.38,15.41,23.2
2025-08-24 13:37:00,6.78,19.07,15.32,23.18
2025-08-24 13:38:00,6.89,19.5,15.48,23.04
2025-08-24 13:39:00,6.79,19.34,15.39,23.1
2025-08-24 13:40:00,6.82,19.01,15.45,22.97
2025-08-24 13:41:00,6.86,19.21,15.47,23.22
2025-08-24 13:42:00,6.75,19.1,15.43,23.22
2025-08-24 13:43:00,6.74,19.29,15.61,22.76
2025-08-24 13:44:00,6.75,19.47,15.48,22.88
2025-08-24 13:45:00,6.9,18.81,15.46,22.77
2025-08-24 13:46:00,6.81,19.18,15.48,22.88
2025-08-24 13:47:00,6.97,19.11,15.29,22.94
2025-08-24 13:48:00,6.82,19.25,15.49,22.72
2025-08-24 13:49:00,6.86,19.14,15.37,22.78
2025-08-24 13:50:00,6.94,18.92,15.43,22.74
2025-08-24 13:51:00,6.97,18.98,15.24,22.91
2025-08-24 13:52:00,6.97,18.87,15.17,22.87
2025-08-24 13:53:00,6.94,19.22,15.4,22.73
2025-08-24 13:54:00,6.93,18.99,15.34,22.85
2025-08-24 13:55:00,6.92,19.34,15.2,22.72
2025-08-24 13:56:00,6.93,18.93,15.18,22.75
2025-08-24 13:57:00,6.87,18.78,15.37,23.02
2025-08-24 13:58:00,6.86,18.6,15.12,22.96
2025-08-24 13:59:00,6.91,18.52,15.39,22.54
2025-08-24 14:00:00,6.91,18.54,15.12,22.85
